CONSINEE,CONSINEE_ADDRESS,PORT_CODE,FOREIGN_PORT,FOREIGN_COUNTRY
THANH NGA COMMERCE AND CONSTRUCTION,N?A,VNHPH,Haiphong,Vietnam
"CENSEA INC,",N?A,USNYC,New York,United States
CRYSTAL COVE SEA FOOD CORPORATION,N?A,USNYC,New York,United States
CENSEA INC,N?A,USNYC,New York,United States
CRYSTAL COVE SEA FOOD CORPORATION,N?A,USNYC,New York,United States
"M/s CENSEA INC.,                   ",N?A,USNYC,New York,United States
"FANCO TRADING COMPANY,",N?A,N?A,Los Angeles,United States
"CENSEA INC.,",N?A,N?A,Los Angeles,United States
SEALAND FOODS INC,N?A,N?A,Los Angeles,United States
SEALAND FOODS INC,N?A,N?A,Los Angeles,United States
HARVEST VALLEY INC,N?A,N?A,Miami,United States
THUAN PHUOC SEAFOODS AND TRADING,N?A,N?A,Da Nang,Vietnam
THUAN PHUOC SEAFOODS AND TRADING,N?A,N?A,Da Nang,Vietnam
CENSEA INC,N?A,N?A,New York,United States
THUAN PHUOC SEAFOODS AND TRADING,N?A,N?A,Da Nang,Vietnam
"CENSEA INC,",N?A,N?A,New York,United States
"CERTI-FRESH FOODS,INC.,",N?A,N?A,Wilmington,United Kingdom
OCEAN WORLD VENTURES LLC,N?A,N?A,Chicago,United States
CENSEA INC,N?A,N?A,New York,United States
